text_raw,text_clean,true,pred,max_prob,prob_Negatif,prob_Netral,prob_Positif
beli 2 dalam 1 invoice pi datengnya sendiri2 yg 1 lama bingit,beli 2 dalam 1 invoice pi datengnya sendiri2 yg 1 lama bingit,Netral,Positif,0.901051089539635,0.04537543888880511,0.05357347157155989,0.901051089539635
Katanya ukuran M pas dibb 55 tapi ngepres banget kekecin terpaksa aku kasih orang Tapi bagus sih sesuai bahan dengan harga cuma kekecilan,kata ukur m pas dibb 55 tapi ngepres banget kekecin paksa aku kasih orang tapi bagus sih sesuai bahan dengan harga cuma kecil,Negatif,Positif,0.9978598035379482,0.0013347257903936498,0.0008054706716580398,0.9978598035379482
Filling yg coklat ada choco chipnya. buat seleraku agak kemanisan. tetep enak sih hehee,filling yg coklat ada choco chipnya buat selera agak manis tetep enak sih hehee,Netral,Positif,0.9705341921331242,0.003964550425992806,0.025501257440883128,0.9705341921331242
"barangnya ok bagus kok. cuman pengiriman lama pdhl sudah bayar dgn sameday which is mahal :( , taunya pas di reach duluan baru bilang gudangnya tutup tapi masih open option sameday. jadi total nunggu 2 hari deh. better yang lain kalo mau beli confirm dlu yah ke sellernya dan semoga next diperbaiki ya control nya kasian orang yang udah nunggu barangnya sampai dan urgent mau dipakai thankyouu",barang ok bagus kok cuman kirim lama pdhl sudah bayar dgn sameday which is mahal tau pas di reach duluan baru bilang gudang tutup tapi masih open option sameday jadi total nunggu 2 hari deh better yang lain kalo mau beli confirm dlu yah ke sellernya dan moga next baik ya control nya kasi orang yang udah nunggu barang sampai dan urgent mau pakai thankyouu,Netral,Positif,0.7303489705775309,0.040860504310020904,0.22879052511244816,0.7303489705775309
"PACKAGING RUSAK, SOBEK. DAN ISINYA BERANTAKAN GINI.",packaging rusak sobek dan isi beranta gin,Negatif,Netral,0.8920882806203346,0.04253557950682527,0.8920882806203346,0.06537613987284004
Vanilla cookie nya kurang rasa vanilla Dan kurang crispy crunchy.,vanilla cookie nya kurang rasa vanilla dan kurang crispy crunchy,Netral,Positif,0.800074713596922,0.04809477087458147,0.15183051552849652,0.800074713596922
Harganya mahal tpi telor nya lumayan lhis ok lh Sayangnya pengiriman nya banyak yang pecah 😩🤦‍♀️🤦‍♀️gk tau dari sono nya ap tukang kurir nya😌,harga mahal tpi telor nya lumayan lhis ok lh sayang kirim nya banyak yang pecah gk tau dari sono nya ap tukang kurir nya,Netral,Positif,0.5852664970979162,0.0650953265452459,0.3496381763568379,0.5852664970979162
kurang seger,kurang seger,Netral,Positif,0.886864315298551,0.04590531807325773,0.0672303666281912,0.886864315298551
Baru 3 hari pake barang sudah rusak,baru 3 hari pake barang sudah rusak,Negatif,Netral,0.5101116037078716,0.23737161933009132,0.5101116037078716,0.2525167769620372
barang sampai di tempat dalam keadaan pecah,barang sampai di tempat dalam ada pecah,Negatif,Positif,0.9949276510503942,0.0015421402380772806,0.0035302087115285773,0.9949276510503942
"akhirnya barang dikirim. awal order, barang diproses sebelum tenggat waktu batal otomatis. setelah proses, tidak langsung kirim. setelah ajukan pembatalan, langsung dikirim. lama tunggu kirimnya, tidak memberikan pelayanan yg cepat ke pembeli. dikasih bonus lem kertas tp pengiriman sudah terlanjur lama",akhir barang kirim awal order barang proses belum tenggat waktu batal otomatis telah proses tidak langsung kirim telah aju batal langsung kirim lama tunggu kirim tidak beri layan yg cepat ke beli kasih bonus lem kertas tp kirim sudah lanjur lama,Netral,Positif,0.9427359719921858,0.048074858963708084,0.009189169044105999,0.9427359719921858
too sour almost inedible 😔,too sour almost inedible,Netral,Positif,0.9779766023627876,0.00938429640936197,0.012639101227850287,0.9779766023627876
packing kurang baik dan tidak aman... kardus penyok semua dan sobek di samping.. barang agak berminyak plastik bungkus nya,packing kurang baik dan tidak aman kardus penyok semua dan sobek di samping barang agak minyak plastik bungkus nya,Positif,Netral,0.6673565918802518,0.03143597342756025,0.6673565918802518,0.3012074346921881
"Pengiriman cepat, barang ada yang pecah padahal packing bagus.",kirim cepat barang ada yang pecah padahal packing bagus,Netral,Positif,0.9859495651349727,0.005748406537030067,0.008302028327997315,0.9859495651349727
ketarik sedikti robek :( tidak recomended,tarik sedikti robek tidak recomended,Negatif,Positif,0.6821660154228427,0.15638777455879715,0.16144621001836013,0.6821660154228427
"Telur banyak yg pecah2, ampe rusak gak bisa dikonsumsi",telur banyak yg pecah2 ampe rusak tidak bisa konsumsi,Negatif,Positif,0.5314563021735959,0.2708250943022557,0.1977186035241485,0.5314563021735959
"dari awal sudah tanya ada bau atau tidak? jawabannya tidak. Ternyata ada baunya cukup kuat jadi pusing klo posisi tiduran di mat spt sit up / skull crusher. jadi blom bisa dipakai dulu sampai baunya hilang, entah kapan. Untungnya warnanya ok dan sepertinya bisa awet.",dari awal sudah tanya ada bau atau tidak jawab tidak nyata ada bau cukup kuat jadi pusing klo posisi tidur di mat spt sit up skull crusher jadi blom bisa pakai dulu sampai bau hilang entah kapan untung warna ok dan seperti bisa awet,Netral,Positif,0.5684342299454664,0.08213032550151624,0.3494354445530174,0.5684342299454664
captionnya Kapsim slice 2mm di anternya Kapsim gelondongan ga di slice. jd mau ga mau mesti motong tipis tipis sendiri. Tolong diperbaiki caption dan keterangannya.,captionnya kapsim slice 2mm di anter kapsim gelondong tidak di slice jd mau tidak mau mesti motong tipis tipis sendiri tolong baik caption dan terang,Netral,Positif,0.8561777545681413,0.12029471607645957,0.023527529355399125,0.8561777545681413
"Maaf, baru sekali dipakai motong dahan tanaman sudah berkarat. Kalau dahan tanaman pasti mengandung air dan setelah pemakaian sudah dilap karatnya tidak hilang. Sebagai perbandingan saya ada golok bahan besi baja berkualitas bukan stainless steel, tidak langsung berkarat setelah saya gunakan untuk menebas dahan basah. Berkarat setelah pemakaian berulang lebih dari sebulan. Alhamdulillah, sudah sampai. semoga awet. Respon seller cepat dan baik. Terimakasih.",maaf baru sekali pakai motong dahan tanam sudah karat kalau dahan tanam pasti kandung air dan telah pakai sudah lap karat tidak hilang bagai banding saya ada golok bahan besi baja kualitas bukan stainless steel tidak langsung karat telah saya guna untuk tebas dahan basah karat telah pakai ulang lebih dari bulan alhamdulillah sudah sampai moga awet respon seller cepat dan baik terimakasih,Netral,Positif,0.9947953085334764,0.003651285333963048,0.0015534061325604663,0.9947953085334764
lampu kurang terang dan ga tahan sampe pagi,lampu kurang terang dan tidak tahan sampe pagi,Netral,Positif,0.9075277928171109,0.037642173518213085,0.054830033664676016,0.9075277928171109
Utk daging pipi babi nya banyak lemak,utk daging pipi babi nya banyak lemak,Netral,Positif,0.9534453892904579,0.007027712957800137,0.03952689775174203,0.9534453892904579
"bahannya sih okey, cuma gaada keteranganan kanan kiri nya jadi salahh😌 harusnya kiri malah dikirim yang kanan🙄",bahan sih okey cuma gaada angan kanan kiri nya jadi salahh harus kiri malah kirim yang kanan,Negatif,Positif,0.8323943561390923,0.11974218643791248,0.04786345742299529,0.8323943561390923
"apaan dapet barang kayak gitu, ga lolos qc, warna jg ternyata beda",apa dapet barang kayak gitu tidak lolos qc warna jg nyata beda,Negatif,Positif,0.5919336263025564,0.12984022597690534,0.2782261477205383,0.5919336263025564
Setidaknya sesuai pesanan,tidak sesuai pesan,Positif,Negatif,0.6917399752260212,0.6917399752260212,0.15182261145383527,0.1564374133201435
"Barang bagus, pengiriman cepat, sayang admin kurang tanggap....smoga respon bisa lebih baik lagi",barang bagus kirim cepat sayang admin kurang tanggap smoga respon bisa lebih baik lagi,Netral,Positif,0.9949920734034541,0.00156605684111657,0.003441869755429317,0.9949920734034541
"Ukuran 5/8, bukan 3/4 spt yg ditulis",ukur 5 8 bukan 3 4 spt yg tulis,Negatif,Positif,0.7425009451827482,0.12757845810718105,0.12992059671007072,0.7425009451827482
gambarnya Simpati biasa. Dikirimnya lite tp bungkus ditempel cover simpati biasa. Di deskripsi gak disebutkan bahwa yg dikirim adalah simpati lite.,gambar simpati biasa kirim lite tp bungkus tempel cover simpati biasa di deskripsi tidak sebut bahwa yg kirim adalah simpati lite,Negatif,Positif,0.9447943675115464,0.013159815969132198,0.04204581651932144,0.9447943675115464
Makasiih Ya Tapi Sedikit bercak bercak,makasiih ya tapi sedikit bercak bercak,Netral,Positif,0.9571884391435966,0.002170238183853698,0.04064132267254963,0.9571884391435966
"Daging ini lbh lembut dikit dengan yang pork belly, masih ok la pas dikunyah nga butuh energi lbh seperti pork belly",daging ini lbh lembut dikit dengan yang pork belly masih ok la pas kunyah nga butuh energi lbh seperti pork belly,Netral,Positif,0.9821346314129535,0.005365116776689897,0.012500251810356596,0.9821346314129535
"Dalam kemasan wajib ada tgl EXP apalagi kalau ada tgl Produksi tapi ini malah adanya cuma tgl Produksi dan katanya sih itu produksi bukan exp. Ditanya cuma jawab EXP 2024 tapi tidak memberi bukti apa-apa. Minta tolong cek ke gudang dan saya tunggu infonya tapi cuma jawab saya yakin, saya pastiin, saya jamin, lalu ujung-ujungnya suruh komplain!",dalam kemas wajib ada tgl exp apalagi kalau ada tgl produksi tapi ini malah ada cuma tgl produksi dan kata sih itu produksi bukan exp tanya cuma jawab exp 2024 tapi tidak beri bukti apa apa minta tolong cek ke gudang dan saya tunggu info tapi cuma jawab saya yakin saya pastiin saya jamin lalu ujung ujung suruh komplain,Netral,Positif,0.9056377727795631,0.046519466722143014,0.047842760498293876,0.9056377727795631
"Barang sudah diterima dengan baik, semoga awet digunakan",barang sudah terima dengan baik moga awet guna,Netral,Positif,0.9995454083677577,0.0003413924176762019,0.00011319921456603058,0.9995454083677577
baik,baik,Negatif,Positif,0.997237436703841,0.0009719668009372629,0.001790596495221785,0.997237436703841
Packing cm pk plastik saja dus penyok2 dan maskernya ada yg kebuka sealnya jebol.,packing cm pk plastik saja dus penyok2 dan masker ada yg buka sealnya jebol,Netral,Positif,0.9618161773468739,0.002412746758764352,0.03577107589436171,0.9618161773468739
"Barang ada yg lecet, kardus pun kusut lecek.. agak gmn ya karna buat kado.. maaf dah sy ksh bintang 3 agak kcewa",barang ada yg lecet kardus pun kusut lecek agak gmn ya karna buat kado maaf dah sy ksh bintang 3 agak kcewa,Netral,Positif,0.9731388302024115,0.006983481961658777,0.01987768783592959,0.9731388302024115
